id,name,X,Y,type,type_long,address,city,aname,rating,photo
B0H017SB12,南京石头城遗址公园,118.7565349,32.04744847,景点,风景名胜;公园广场;公园|风景名胜;风景名胜;省级景点,虎踞路87号(近虎踞南路),南京市,鼓楼区,4.7,http://store.is.autonavi.com/showpic/411adde9805fa0da2b35615a65ac438d
B0FFHDXY5Z,灵谷景区,118.8613358,32.05847503,景点,风景名胜;公园广场;公园|风景名胜;风景名胜;风景名胜,石象路7号-3,南京市,玄武区,4.8,http://store.is.autonavi.com/showpic/0a8043d98b2b99284a340a89807ba493
B001906KXH,古瓦官寺,118.7675846,32.01970801,景点,风景名胜;风景名胜;寺庙道观,双塘街道花露北岗12号,南京市,秦淮区,4.5,http://store.is.autonavi.com/showpic/7ea5a8679cfcbaeb26b049a49256977a
B00190BWGY,李鸿章祠堂,118.7932513,32.03899057,景点,风景名胜;风景名胜;寺庙道观,五老村街道常府街四条巷77号,南京市,秦淮区,4.3,http://store.is.autonavi.com/showpic/3d5e35bbc9df99b5763ac58e66c10039
B001911OIV,清凉山公园,118.7554953,32.0512641,景点,风景名胜;风景名胜;寺庙道观,清凉山83号清凉山公园内(南侧),南京市,鼓楼区,4.5,http://store.is.autonavi.com/showpic/d6e06cb3f9204984f2d58c84c16d4f0a
B0FFH62KNA,古鸡鸣寺,118.7900511,32.06312749,景点,风景名胜;风景名胜;寺庙道观,鸡鸣寺路1号(鸡鸣寺地铁站5号口步行410米),南京市,玄武区,5,http://store.is.autonavi.com/query_pic?id=st653d2760-3b45-47e5-ad2c-7a027aea5997&user=search&operate=original
B00190AZ4L,毗卢寺,118.798161,32.04494922,景点,风景名胜;风景名胜;寺庙道观,汉府街4号(西安门地铁站2号口步行370米),南京市,玄武区,4.8,http://store.is.autonavi.com/showpic/d912137380adcf85c67e6bd6a79fdbd5
B0FFG835UD,建初寺,118.7770681,32.00879312,景点,风景名胜;风景名胜;寺庙道观,应天大街396号,南京市,秦淮区,4.5,http://store.is.autonavi.com/showpic/55091d441358f0c2b2168e2f1d29f34c
B001906TJW,金粟庵,118.7661644,32.02251978,景点,风景名胜;风景名胜;寺庙道观,平江府路80-1南京夫子庙-秦淮风光带内(西侧),南京市,秦淮区,4.5,http://store.is.autonavi.com/showpic/c0127a7121e5bd69f2c1fb0d0579b941
B0FFFZDTSL,太子山公园-长芦崇福禅寺,118.7494814,32.2195264,景点,风景名胜;风景名胜;寺庙道观,大厂街道江北新区园东路280号太子山公园内(南侧),南京市,六合区,4.4,http://store.is.autonavi.com/showpic/13587630f19dfff7a9ebbcee846e28d2
B001904379,六合文庙,118.8281885,32.34589152,景点,风景名胜;风景名胜;寺庙道观,县府街136号,南京市,六合区,4.2,http://store.is.autonavi.com/showpic/8f64158d46f063acd48edd3b42a85426
B0FFFFKG55,明孝陵景区,118.8353576,32.05406885,景点,风景名胜;风景名胜;世界遗产,石象路7号,南京市,玄武区,4.9,http://store.is.autonavi.com/showpic/54b412f617d083a34fb1e9849858f082
B00190BC25,中山门,118.8221999,32.04084318,景点,风景名胜;风景名胜;世界遗产,中山东路325号(南京博物院),南京市,玄武区,4.7,http://store.is.autonavi.com/showpic/2e55e660cb3bfd0c46127f3b2ce3c6fe
B001908F04,南京牛首山文化旅游区,118.7389417,31.90531386,景点,风景名胜;风景名胜;省级景点,宁丹大道18号,南京市,江宁区,4.9,http://store.is.autonavi.com/showpic/f1496728ce77c278f387d2a29c3c920e
